classification,month,total_posts,bucket_communication_and_creative_pct_posts,bucket_communication_and_creative_n_posts,bucket_communication_and_creative_total_mentions,bucket_communication_and_creative_avg_mentions_per_post,bucket_data_and_analytics_pct_posts,bucket_data_and_analytics_n_posts,bucket_data_and_analytics_total_mentions,bucket_data_and_analytics_avg_mentions_per_post,bucket_development_and_infrastructure_pct_posts,bucket_development_and_infrastructure_n_posts,bucket_development_and_infrastructure_total_mentions,bucket_development_and_infrastructure_avg_mentions_per_post,bucket_domain_specific_and_industry_pct_posts,bucket_domain_specific_and_industry_n_posts,bucket_domain_specific_and_industry_total_mentions,bucket_domain_specific_and_industry_avg_mentions_per_post,bucket_enterprise_and_operations_pct_posts,bucket_enterprise_and_operations_n_posts,bucket_enterprise_and_operations_total_mentions,bucket_enterprise_and_operations_avg_mentions_per_post,bucket_security_and_compliance_pct_posts,bucket_security_and_compliance_n_posts,bucket_security_and_compliance_total_mentions,bucket_security_and_compliance_avg_mentions_per_post
Other,2015-05,1,100.0,1,1,1.0,0.0,0,0,0.0,0.0,0,0,0.0,100.0,1,1,1.0,100.0,1,1,1.0,0.0,0,0,0.0
Other,2015-08,1,100.0,1,1,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,100.0,1,2,2.0,0.0,0,0,0.0
Other,2015-10,3,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Other,2015-12,16,12.5,2,4,0.25,12.5,2,2,0.125,12.5,2,13,0.8125,6.25,1,2,0.125,12.5,2,10,0.625,0.0,0,0,0.0
Other,2016-01,1,100.0,1,1,1.0,100.0,1,2,2.0,100.0,1,2,2.0,100.0,1,1,1.0,100.0,1,9,9.0,0.0,0,0,0.0
Other,2016-04,3,66.66666666666667,2,3,1.0,33.333333333333336,1,1,0.3333333333333333,33.333333333333336,1,2,0.6666666666666666,0.0,0,0,0.0,0.0,0,0,0.0,33.333333333333336,1,1,0.3333333333333333
Other,2016-05,1,100.0,1,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Other,2016-08,1,100.0,1,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Other,2016-10,2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
Other,2016-11,60,93.33333333333333,56,61,1.0166666666666666,0.0,0,0,0.0,0.0,0,0,0.0,66.66666666666667,40,74,1.2333333333333334,76.66666666666667,46,223,3.716666666666667,1.6666666666666667,1,1,0.016666666666666666
